"Player","Team","Pos","GP","W%","CTR%","K","D","A","KDA","KP","KS%","DTH%","FB%","GD10","XPD10","CSD10","CSPM","CS%P15","DPM","DMG%","D%P15","EGPM","GOLD%","STL","WPM","CWPM","WCPM"
"Trigger","Victory Five","ADC",20,"45%","45%",72,48,74,3,"58.9%","29.0%","18.0%","10%",-35,-29,1.6,9.3,"31.7%",451,"23.4%",,285,"25.5%",,0.48,0.14,0.34
"Twila","ThunderTalk Gaming","Middle",33,"33%","48%",72,89,171,2.7,"61.2%","18.1%","16.9%","6%",-308,-218,-6.6,8.3,"24.2%",451,"25.2%",,243,"21.9%",,0.41,0.14,0.2
"Uniboy","LGD Gaming","Middle",37,"30%","49%",95,101,187,2.8,"71.9%","24.2%","18.5%","16%",-213,-167,-6.6,8.3,"24.2%",494,"28.0%",,244,"23.0%",,0.37,0.15,0.2
"Viper","EDward Gaming","ADC",36,"78%","50%",189,58,171,6.2,"67.9%","35.7%","18.2%","28%",208,82,3.4,10.3,"32.6%",547,"28.6%",,341,"28.0%",,0.52,0.15,0.46
"Wei","Royal Never Give Up","Jungle",37,"78%","46%",125,81,297,5.2,"70.7%","20.9%","20.9%","41%",18,-46,-0.9,5.9,"14.0%",365,"18.3%",,223,"18.1%",,0.81,0.41,0.54
"Weiwei","Victory Five","Jungle",38,"39%","50%",120,105,224,3.3,"75.4%","26.3%","19.5%","34%",116,9,-1.1,6.2,"17.3%",380,"19.6%",,225,"20.6%",,0.45,0.3,0.38
"Wink","Invictus Gaming","ADC",20,"60%","60%",85,40,124,5.2,"62.8%","25.5%","14.9%","35%",435,125,3.3,9.3,"32.0%",479,"23.0%",,319,"26.4%",,0.56,0.2,0.36
"Xiaohu","Royal Never Give Up","Top",37,"78%","54%",123,91,283,4.5,"68.0%","20.6%","23.5%","22%",42,27,2.5,8.3,"25.0%",458,"23.1%",,284,"22.5%",,0.42,0.14,0.24
"xiaopeng","ThunderTalk Gaming","Jungle",31,"35%","61%",103,102,179,2.8,"73.1%","26.7%","21.0%","35%",-289,-374,-7.3,6.1,"17.4%",369,"19.6%",,222,"20.1%",,0.32,0.32,0.48
"XinLiu","Invictus Gaming","Support",23,"61%","43%",13,62,206,3.5,"65.0%","3.9%","21.8%","17%",77,129,0.9,1.1,"2.6%",143,"6.8%",,107,"9.0%",,1.64,0.56,0.32
"xiye","JD Gaming","Middle",2,"0%","50%",4,8,4,1,"72.7%","36.4%","19.5%","0%",-426,-171,-7.5,7.7,"23.9%",504,"29.0%",,217,"24.1%",,0.39,0.12,0.04
"XUN","Invictus Gaming","Jungle",36,"58%","28%",161,90,220,4.2,"70.7%","29.9%","19.4%","42%",6,-152,-1.1,6.1,"18.4%",394,"18.1%",,244,"20.6%",,0.42,0.28,0.37
"y4","Victory Five","ADC",18,"33%","44%",62,42,75,3.3,"65.9%","29.8%","15.4%","17%",-95,-148,-3.8,8.9,"31.5%",430,"24.0%",,278,"25.9%",,0.38,0.13,0.23
"Yagao","JD Gaming","Middle",31,"77%","39%",110,60,214,5.4,"63.8%","21.7%","15.8%","23%",121,23,1.2,8.4,"22.5%",520,"24.0%",,277,"22.3%",,0.36,0.15,0.26
"Yimeng","Team WE","Middle",2,"0%","100%",6,9,13,2.1,"82.6%","26.1%","24.3%","0%",55,-467,-12.5,7.5,"23.2%",546,"24.6%",,225,"21.9%",,0.52,0.36,0.23
"Zeka","Bilibili Gaming","Middle",38,"42%","55%",93,76,218,4.1,"71.0%","21.2%","14.0%","16%",-22,0,-0.3,8.3,"23.5%",468,"24.5%",,256,"23.1%",,0.44,0.21,0.18
"Zhuo","Top Esports","Support",35,"71%","51%",24,77,346,4.8,"63.5%","4.1%","20.9%","34%",87,18,0.5,1.3,"3.3%",139,"6.4%",,113,"8.9%",,1.65,0.5,0.5
"Ziv","Rogue Warriors","Top",34,"9%","38%",47,107,131,1.7,"60.8%","16.0%","18.1%","12%",-284,-242,-9,7.1,"22.7%",353,"22.9%",,197,"20.6%",,0.34,0.14,0.23
"Zoom","JD Gaming","Top",33,"73%","55%",92,74,211,4.1,"58.4%","17.7%","17.6%","18%",129,101,5.9,8.3,"24.0%",470,"22.0%",,270,"22.2%",,0.45,0.16,0.2
"zs","eStar","Top",36,"19%","47%",64,98,149,2.2,"56.6%","17.0%","17.5%","19%",-11,-43,-2.4,7.7,"24.2%",400,"23.4%",,226,"22.0%",,0.41,0.21,0.17
