,Support_Importance_0,Support_Coefficient_0,ADC_Importance_0,ADC_Coefficient_0,Middle_Importance_0,Middle_Coefficient_0,Jungle_Importance_0,Jungle_Coefficient_0,Top_Importance_0,Top_Coefficient_0,Support_Importance_1,Support_Coefficient_1,ADC_Importance_1,ADC_Coefficient_1,Middle_Importance_1,Middle_Coefficient_1,Jungle_Importance_1,Jungle_Coefficient_1,Top_Importance_1,Top_Coefficient_1,Support_Importance_2,Support_Coefficient_2,ADC_Importance_2,ADC_Coefficient_2,Middle_Importance_2,Middle_Coefficient_2,Jungle_Importance_2,Jungle_Coefficient_2,Top_Importance_2,Top_Coefficient_2,Support_Avg_Coefficient,ADC_Avg_Coefficient,Middle_Avg_Coefficient,Jungle_Avg_Coefficient,Top_Avg_Coefficient,Support_Avg_Importance,ADC_Avg_Importance,Middle_Avg_Importance,Jungle_Avg_Importance,Top_Avg_Importance
WPM,0.009696879786009938,-2.0907619878661166,0.017277090926537366,0.18709475940474457,0.012563514415458867,0.4256061922818348,0.009087399116411318,1.1521777929119428,0.01445148740507688,0.42998830517831066,0.008278656620038813,-1.3763185560929256,0.016463903758057355,0.17344963713454037,0.011133732043205924,0.7139998902126603,0.01056929364057123,1.446369509337406,0.014711112922001566,-0.5176503980162757,0.00981619532540084,-1.6997144204317232,0.01677269478981744,1.0339060952609231,0.010565278270553508,0.2587059476004171,0.009640184233096314,1.499818025106677,0.014397741955489294,0.8127949718807641,-1.7222649881302552,0.46481683060006934,0.4661040100316374,1.366121775785342,0.24171095968093304,0.009263910577149863,0.01683789649147072,0.0114208415764061,0.009765625663359622,0.014520114094189246
GOLD%,0.009365073043527202,-1.4548063361136658,0.017298767095821305,-10.72445082313908,0.01587904680240096,-6.393476777577803,0.006777977957759045,-12.543334144587647,0.018315753846938627,-8.095353133336337,0.008478240199432458,-0.583084340769331,0.015815276729109706,-10.946989093455334,0.015942378450739,-7.522995376141651,0.007944767301209476,-14.68426611062593,0.018168055007618672,-10.446595186724116,0.007556061444728855,-1.4258077752310538,0.017692202142127026,-11.004380825992534,0.016243900695366475,-8.183449019932166,0.007201304750252768,-11.55474707097206,0.019415238491791748,-6.3220700636477405,-1.1545661507046836,-10.891940247528984,-7.3666403912172065,-12.927449108728545,-8.288006127902731,0.008466458229229505,0.016935415322352678,0.016021775316168812,0.00730801666974043,0.01863301578211635
D%P15,0.009325927103265054,-2.3115138998541136,0.008119695596335009,-1.2790366011818666,0.018278178247320965,3.951871123177019,0.01938258913606021,0.20150880592937148,0.005863700709024125,1.5176783872506958,0.009340766242858574,-1.50927861320987,0.008252223117251933,-0.795599818148965,0.019585204917223698,1.2475771716558892,0.018538839857128214,0.13385696762448054,0.006640235694327293,3.668350300430373,0.008497377928833568,-2.38497807511776,0.008912048146858968,-0.6020092594268796,0.019325878944670246,1.3180446522612703,0.019222995618668363,0.5042337003662696,0.006770731922435668,0.4654175410279027,-2.068590196060581,-0.8922152262525703,2.172497649031393,0.2798664913067072,1.8838154095696573,0.009054690424985731,0.00842798895348197,0.019063087369738302,0.019048141537285596,0.0064248894419290286
DPM,0.009018212412133925,5.575981237454028,0.027940713725233234,-3.9210455963677835,0.01307636671546167,1.0631698961995184,0.007021531441190215,-1.0936939109428134,0.12090809472776044,1.095779902637831,0.010034939893908997,3.333384177715674,0.03316326723757606,-3.826966205670264,0.014347638514308222,0.4703095093817995,0.008340134432172124,-2.3585394283623713,0.1050064151953077,0.8274925589922272,0.010338760981698636,4.979472716628141,0.027806598626754584,-3.9647887635496963,0.011295390701282234,0.4082311338706623,0.00911402841795914,0.26723593442241805,0.11132869987467058,1.7237461726879653,4.6296127105992815,-3.9042668551959143,0.6472368464839934,-1.0616658016275888,1.2156728781060078,0.009797304429247186,0.029636859863187957,0.01290646531035071,0.008158564763773826,0.11241440326591291
FB%,0.007517188706687838,-1.9937362218628158,0.01005141642956963,-0.7775522542020871,0.015763453838858524,2.025122520446267,0.012915104771908282,1.3276680699315793,0.007795776121715871,-1.2303849184798559,0.008310225141818147,-1.3802047395385606,0.009594828139794705,-1.0768708244918928,0.015813063474565108,1.582116386311039,0.010858864341765181,1.6185619537544147,0.005343997509524925,0.08844896063593223,0.009463758176387387,-2.0899154614782325,0.008971437693690666,-0.5856630899491967,0.01638594901710392,1.8182154325455244,0.01107172748458129,1.1827577589997946,0.007455197950719446,-0.8881303466649099,-1.8212854742932028,-0.8133620562143923,1.8084847797676102,1.3763292608952629,-0.6766887681696111,0.008430390674964457,0.009539227421018334,0.01598748877684252,0.01161523219941825,0.0068649905273200805
GD10,0.007089056961971934,-0.9331468007373229,0.03541853063863379,-2.1779261164438632,0.184306367653015,-4.725611684618427,0.0768320284220784,-2.6390546752919213,0.007276780135032917,-1.6172816838174011,0.006799560401644732,-1.7508670329496119,0.03857985676830992,-1.15423477892925,0.1853284714298881,-6.335394316540485,0.06851606955660754,-1.4245376020440506,0.007842939497362346,-1.0695070865918208,0.007721413276652099,-2.168272038578317,0.03431522131173974,-1.011879038582145,0.1903172731210412,-6.253574705108902,0.0638266635977572,-3.644983191373938,0.008343903276908024,-1.107082839209817,-1.6174286240884175,-1.4480133113184195,-5.771526902089271,-2.5695251562366366,-1.264623869873013,0.007203343546756255,0.03610453623956115,0.18665070406798143,0.06972492052548103,0.00782120763643443
DTH%,0.0065905921142606376,9.134521485467548,0.00636408388272113,4.741088744763513,0.009107586825044823,6.6855757435420395,0.009563849804884398,5.39283113821002,0.009148412886746653,6.219964762607291,0.0075637524897255795,11.531541842503268,0.0061162457016750915,4.88009700749756,0.00873904657461176,6.267619728196012,0.008302744140171616,6.332987029066531,0.0095364763260608,7.137688496197758,0.007292934432565707,8.46489205937138,0.005788715924444698,3.9598226982633355,0.009611550156893555,6.752983783183117,0.010844530594397056,6.506497201283094,0.009689062778061617,7.7801488355847,9.710318462447399,4.5270028168414695,6.5687264183070555,6.077438456186548,7.04593403146325,0.007149093012183975,0.006089681836280306,0.009152727852183379,0.009570374846484356,0.009457983996956357
CS%P15,0.006570171079388645,-1.91302866681261,0.008804165456484358,-0.24916040768996092,0.010277573984249213,0.2401379740967897,0.027102207129123347,3.0203845852295066,0.008105965948674427,1.5735083441042066,0.007943184988073268,0.14900104009678158,0.007992116067613275,-2.1582932074229455,0.01120478083166085,0.2374121904625235,0.02602710784096733,3.5502384232976687,0.007704654443845712,2.8524620654309056,0.006978039737952994,-1.1346582222229868,0.009197301415453302,-2.7251523757548544,0.010196231591831636,1.616743052897116,0.026533365707254834,1.2244582105594792,0.008961168877052466,1.3788104183978267,-0.9662286163129384,-1.710868663622587,0.6980977391521431,2.598360406362218,1.934926942644313,0.007163798601804969,0.008664527646516979,0.010559528802580565,0.026554226892448504,0.008257263089857534
XPD10,0.005537737718368212,-1.2346167423868624,0.0065302428220065335,-2.1155290990449,0.013874155078398204,0.5090719495295027,0.03212660066065433,-3.411006389234239,0.007785327619922633,1.1863797335528006,0.005905124513073016,-1.515745518579838,0.007473233017475362,-2.4841263431562988,0.016432390062167075,0.7102975073397828,0.035462568143031795,-8.41828379737213,0.008081787733707104,0.4643836723042184,0.00528748830458782,-0.7710661581928187,0.006832762252924755,-2.9206954364562576,0.016568936719560175,0.6937583573451674,0.028444124318811288,-5.392429576078744,0.0076774023571027335,0.449960557334424,-1.1738094730531732,-2.506783626219152,0.6377092714048177,-5.74057325422837,0.7002413210638143,0.005576783512009683,0.006945412697468884,0.01562516062004182,0.03201109770749914,0.007848172570244156
CWPM,0.005416826952028721,1.4697665946424134,0.009680006120494829,0.9825470108782297,0.011339630944038632,-0.5177791392682036,0.005366573612797497,-1.4474534272561606,0.012648159336859487,-0.7549793272960146,0.006871015221225068,-0.46828220130143766,0.009747449974093478,0.9484214640519546,0.00956210752398078,-0.2644091905949213,0.00624033028273987,-1.6046547030618963,0.012755346462742187,0.035449701951977275,0.006154811441291835,1.3206193258696848,0.00854252630806189,1.123468445296073,0.011839475809691613,-0.08947407888426095,0.00479439729793071,-1.825560562776369,0.013554424545894943,-1.2269156980305846,0.7740345730702202,1.0181456400754192,-0.2905541362491286,-1.6258895643648088,-0.6488151077915406,0.006147551204848542,0.009323327467550066,0.010913738092570341,0.005467100397822693,0.012985976781832206
DMG%,0.0052383438621595845,-4.6553799881147,0.008033574677123357,4.584516488853155,0.01474685382865921,-2.5632960555028,0.007093154317778334,-1.1164793360453602,0.010016442702365241,-1.4001496510393294,0.005915922273055338,-2.974913999563101,0.00885378828951329,3.8997802839092457,0.014550201962796354,-0.027105569083587636,0.006440697567747878,-0.5340211883164294,0.009236816340022283,-2.484319455471796,0.006484669267492534,-4.424315806694887,0.007814881115553493,4.604087687832609,0.014666979277105242,-0.21722938582505888,0.007386068859943593,-3.2221978540175935,0.008512879530939405,-0.8434324953507222,-4.018203264790896,4.362794820198336,-0.9358770034704821,-1.6242327927931275,-1.5759672006206158,0.005879645134235819,0.008234081360730047,0.014654678356186937,0.006973306915156602,0.00925537952444231
CSPM,0.004289495345969233,-1.216344154125463,0.007321111921312128,-2.611564784361675,0.006243579851647176,-6.405026037016533,0.02255876257290234,-0.9234280975492128,0.010350928566421131,-2.993558253482657,0.003715609232632393,-2.8557701464510368,0.006462928934032938,-0.04638058666023969,0.006060896198808527,-6.44296356272854,0.021516185330981336,-0.4797377285155598,0.009993656269704883,-3.711905086202712,0.004144191408972261,-0.5248768446903269,0.007478290701070832,3.813979967218982,0.0065961931481824535,-7.788284932583161,0.02586274818974816,0.4989365784473526,0.009565609779586481,-0.8696862464349558,-1.532330381755609,0.3853448653990224,-6.878758177442744,-0.30140974920580665,-2.5250498620401083,0.004049765329191295,0.007087443852138633,0.006300223066212719,0.023312565364543947,0.009970064871904166
